id,title,first_author,year,journal,doi,key_words,main_aim,specific_aims,time_period_period_young_kyr,time_period_period_old_kyr,time_coverage_did_the_authors_deal_with_uneven_temporal_distribution_of_the_data,time_coverage_did_the_authors_use_bins_for_dealing_with_uneven_temporal_distribution,time_coverage_did_the_authors_use_interpolation_for_dealing_with_uneven_temporal_distribution,spatial_scale,region,country,study_taxa_terrestrial_plants,study_taxa_other,number_of_modern_pollen_records,number_of_fossil_pollen_records,method_of_choosing_pollen_data_did_the_authors_have_any_specific_method_for_selecting_records,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_the_amount_of_information,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_their_length,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_the_presence_of_specific_taxa_life_forms,source_of_pollen_data_experimental_study,source_of_pollen_data_did_the_authors_source_from_database,source_of_pollen_data_which_database,source_of_pollen_data_did_the_authors_source_from_published_study,source_of_pollen_data_did_the_authors_source_from_unpublished_private_data,pollen_nomenclature_harmonisation,pollen_counts_corrections,age_depth_recalculation,source_of_fuctional_information_plant_functional_types,source_of_functional_information_plant_traits,source_of_fuctional_information_other,source_of_traits_data_did_the_authors_source_from_database,source_of_trait_data_which_database,source_of_traits_data_did_the_authors_source_from_published_study,source_of_traits_data_did_the_authors_source_from_unpublished_private_data,gap_filling_did_the_authors_somehow_gap_fill_missing_trait_data,gap_filling_how_did_authors_gap_fill_the_missing_trait_values,traits_did_the_authors_use_plant_height,traits_did_the_authors_use_leaf_morphology,traits_did_the_authors_use_sla,traits_did_the_authors_use_la,traits_did_the_authors_use_leaf_p,traits_did_the_authors_use_leaf_n,traits_did_the_authors_use_leaf_c,traits_did_the_authors_use_ldmc,traits_did_the_authors_use_seed_traits,traits_did_the_authors_use_wood_traits,traits_others,pf_ts_based_on_which_study_authors_assign_pollen_taxa_to_pf_ts_or_any_other_classes,bayesian_modelling_for_aligning_pollen_types_with_plant_species,cwm,linking_fossil_pollen_to_plant_taxa_did_the_authors_aggregate_the_traits,linking_fossil_pollen_to_plant_taxa_did_the_authors_use_specialized_linking_table,linking_fossil_pollen_to_plant_taxa_did_the_authors_use_probabilistic_modelling,effect_of_variables_on_trait_composition_did_the_authors_test_it,effect_of_variables_on_trait_composition_did_the_authors_incorporate_effect_of_climate,effect_of_variables_on_trait_composition_did_the_authors_incorporate_effect_of_humans,statistical_method_to_fit_the_temporal_trend,results,note
41,"Novel insights into post-glacial 
vegetation change: functional and phylogenetic diversity in pollen records","Reitalu, T.",2015,"Journal of Vegetation 
Science",10.1111/jvs.12300,"Biodiversity; Late quaternary; Long-term; 
Millennial time-scale; Palynological diversity; Plant diversity; Pollen data","How do pollen-based functional 
and phylogenetic diversity help to explain post-glacial vegetation 
change in relation to climate and human influence?","1) Diversity components (richness, 
evenness, functional and phylogenetic diversity) all convey 
independent additional information and show varying trends through
 the 14 500-yr period; 
2) The Late Glacial (LG) and the Holocene have contrasting values in diversity owing to climatic differences; 
3) Diversity components are influenced differently by climate and human impact.",0,14.5,NA,NA,NA,Regional,Europe,"Estonia, Latvia",TRUE,FALSE,NA,20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,LEDA,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,GAM,"The Late Glacial and the mid-Holocene periods showed
 contrasting values for most of the diversity components, and several diversity components were strongly associated with climate. 
Late Glacial -> high PD and low FD.
Climate warming to the Holocene -> low FD and high FD based on plant height and seed weight. 
Human impact -> increase plant richness, low FD and PD in herbs.",NA
42,Holocene climatic reconstructions from the fossil pollen record at Qigai Nuur in the southern Mongolian Plateau,"Sun, Z.",2013,The Holocene,10.1177/0959683613489581,"East Asian summer monsoon, Holocene, Mongolian Plateau, palaeoclimate, pollen, vegetation",Reconstruct Holocene vegetation and climate changes from fossil pollen at Qigai Nuur and evaluate controls on precipitation and temperature variability.,"1) Reconstruct vegetation history
2) reconstruct MAT and MAP using PFT-MAT
3) compare reconstructions with regional monsoon records
4) infer climatic controls (ITCZ and ENSO).",0,10.7,TRUE,FALSE,TRUE,Regional,Asia,China,TRUE,FALSE,NA,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,China Quaternary Pollen Data Base,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996), Jiang et al. (2006)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,PFT–MAT (Plant Functional Type–Modern Analogue Technique),"Vegetation shifted repeatedly between steppe forest and dry steppe over the last ~10.7 kyr. Warm and wet conditions dominated from ~9200–2800 cal yr BP, interrupted by dry intervals around 7400–6000 and 4000–2800 cal yr BP. Climate reconstructions suggest that precipitation was controlled by East Asian monsoon dynamics, ITCZ shifts, and ENSO variability.",NA
43,An updated biomization scheme and vegetation reconstruction based on a synthesis of modern and mid-Holocene pollen data in China,"Sun, Z.",2020,Global and Planetary Change,https://doi.org/10.1016/j.gloplacha.2020.103178,"Pollen data, Plant functional types, Biomes, Mid-Holocene, China",NA,"1) To expand the spatial reference grid of modern surface pollen samples across undersampled regions of China (such as the Xinjiang area and northwestern Tibetan Plateau).
2) To redesign the mathematical biomization matrix by adjusting the number of defined Plant Functional Types (PFTs) and biomes to better resolve traditional classification overlap issues. 
3) To generate maps of mid-Holocene vegetation structure and compare a custom landscape openness index against modern baseline vegetation boundaries.",0,6.5,NA,NA,NA,Regional,Asia,China,TRUE,FALSE,1630,234,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"China Quaternary Pollen Data Base, East Asia Surface Pollen Dataset",TRUE,FALSE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996), Harrison et al. (2010)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,"Developed an improved Chinese biomization scheme containing 18 biomes, 30 PFTs, and 590 pollen taxa. Achieved ~80% biome assignment accuracy. Mid-Holocene forests expanded westward and forest–steppe boundaries shifted ~150–300 km northwestward, likely due to a stronger East Asian Summer Monsoon and increased moisture availability.",NA
44,"Pollen-based reconstructions of Japanese biomes  at 0, 6000
 and 18,000 14C yr BP",Takahara. H.,2000,Journal of Biogeography,https://doi.org/10.1046/j.1365-2699.2000.00432.xDigital Object Identifier (DOI),"Pollen data, plant functional types, biomes, 
vegetation changes, Japan, mid-Holocene, 
last glacial maximum.","To reconstruct the distribution of major vegetation types (biomes) 
in Japan at three target time periods using fossil pollen datasets.","1) To assign Japanese pollen taxa to specific Plant Functional 
Types (PFTs) based on structural, bioclimatic, and ecological criteria.

2) To validate the biomization method by evaluating modern 
surface/core-top pollen samples against actual modern potential 
vegetation maps.

3) To map regional biome patterns and altitudinal vegetation shifts
 for the mid-Holocene (6000 yr BP) and the Last Glacial Maximum (18000 yr BP).",0,18,FALSE,TRUE,FALSE,Regional,Asia,Japan,TRUE,FALSE,94,73,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Japanese Pollen Database,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996),
Prentice & Webb (1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Reconstructed modern biomes closely match modern potential vegetation patterns. 
At 6000 yr BP, warm evergreen broad-leaved forests expanded northwards and upwards, 
reflecting warmer-than-present climates. At 18000 yr BP (LGM), temperate and 
evergreen biomes were replaced entirely by cold coniferous forests and 
tundra-like steppe communities, signaling extreme cooling and drying across 
the Japanese archipelago.",NA
45,Present-day and mid-Holocene biomes reconstructed from pollen and plant macrofossil data from the former Soviet Union and Mongolia,"Tarasov, P.E.",1998,Journal of Biogeography,https://onlinelibrary.wiley.com/doi/10.1046/j.1365-2699.1998.00236.x,NA,To reconstruct the spatial distribution of present-day and mid-Holocene biomes across northern Eurasia using the plant-functional-type (PFT) biomization method for evaluation against global climate models.,"1) To compile a comprehensive pollen dataset of modern surface samples and 6,000-year fossil spectra from across the Former Soviet Union and Mongolia.

2) To adapt and validate the objective Prentice et al. (1996) biomization scheme for continental northern Eurasian vegetation zones.

3) To integrate radiocarbon-dated plant macrofossil records (e.g., larch and spruce wood/stems) to precisely track shifting northern tree lines and landscape change.",0,6,FALSE,TRUE,TRUE,Subcontinental,"Asia, Europe","Russia, Mongolia, Ukraine, Belarus, Kazakhstan, Kyrgyzstan",TRUE,FALSE,844,216,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"European Pollen Database, Global Pollen Database",TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prentice et al. (1996),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,"Model Accuracy: The adapted Prentice et al. (1996) method mapped modern validation surfaces with high precision, confirming the accuracy of the PFT affinity framework.

Forest Extensions: At 6,000 yr B.P., the temperate deciduous forest belt shifted significantly northward and southward from its modern limits across the Ural Mountains. The northern margins of cool mixed and cool coniferous forests also expanded poleward.

Taiga & Cold Deciduous Shifts: Classic taiga was significantly reduced in European Russia but expanded into eastern Yakutia, replacing open cold deciduous forest zones.

Continental Stability: In contrast to the dramatic forest migrations observed along maritime and high-latitude gradients, steppic biomes inside the dry continental interior remained structurally stable, pointing to persistent dry conditions in western Mongolia and north of the Aral Sea during the mid-Holocene.",NA
46,"Last glacial maximum biomes reconstructed from pollen 
and plant macrofossil data from northern Eurasia","Tarasov, P.E.",2001,Journal of Biogeography,https://doi.org/10.1046/j.1365-2699.2000.00429.x,"Biomes, Former Soviet Union, last glacial maximum,
 Mongolia, plant functional types, pollen data,
 vegetation changes, vegetation map.","To objectively reconstruct the vegetation distributions and biomes 
of Northern Eurasia during the Last Glacial Maximum (LGM) using 
a quantitative biomization method applied to pollen and plant macrofossil records.","1) To validate and reinforce previous qualitative vegetation maps 
with standardized quantitative parameters.

2) To determine the spatial extent of tundra and steppe bands 
across the plains of the Former Soviet Union and Mongolia.

3) To localize glacial tree refugia, specifically for broadleaved
 and cool conifer communities along the Black Sea and Caucasus corridors.",18,18,FALSE,FALSE,TRUE,Regional,Asia,"Russia, Mongolia",TRUE,FALSE,NA,39,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996),
Tarasov et al. (1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Tundra vegetation heavily dominated northern latitudes above 57°N around
 the Scandinavian ice sheet. Arid steppe landscapes expanded heavily southwards, 
creating a distinct continuous tundra-steppe transition zone across Siberia that does 
not exist today. Broadleaved species were forced entirely out of major zones into 
microclimatic coastal refugia, notably along the Black Sea.",NA
47,Taxonomic and functional diversity of North American vegetation during the last interglacial–glacial cycle,"Terlizzi, T.",2025,Quaternary Research,10.1017/qua.2024.55,"Quaternary, paleogeography, glaciation, North America, pollen, vegetation dynamics",They used pollen-derived taxonomic and functional diversity estimates to quantify North American plant community dynamics from the last interglacial period (MIS 5e) to the present (MIS 1).,"1) To compile a pre-Last Glacial Maximum (LGM) pollen dataset across North America with sufficient chronological and sampling resolution. 
2) To evaluate whether global temperature changes and latitudinal temperature gradient compressions systematically drove plant diversity shifts across different bioregions. 
3) To assess if taxonomic diversity trends (richness, abundance) are mirrored by functional trait-based diversity metrics across the last ca. 130 ka",0,130,TRUE,FALSE,TRUE,Continental,"North 
America","USA, Canada, 
Mexico, Guatemala",TRUE,FALSE,NA,23,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Neotoma,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,BIEN,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,GAM,"Taxonomic vs. Functional Connectivity: Taxonomic and functional diversity patterns generally matched across time and space, meaning they can often be used interchangeably. However, functional diversity shifts occurred less frequently and varied in timing and amplitude compared to taxonomic changes. This suggests that ecosystems maintain functional resilience even when species composition changes.",NA
48,"Biomes of western North America at 18,000,  6000 and 0 
14C yr BP reconstructed from pollen and packrat midden data","Thomson, R. S.",2001,Journal of Biogeography,https://doi.org/10.1046/j.1365-2699.2000.00427.x,"Packrat middens, pollen data, plant macrofossil data,
 plant functional types, biomes, vegetation changes, 
western North America, last glacial maximum, mid-Holocene.","To reconstruct and compare the compositions and geographical 
distributions of biomes across western North America for the modern
 era, 6000, and 18,000 yr BP.","1) To combine lacustrine pollen data with macrofossil sequences
 extracted from packrat middens.

2) To formulate a new specialized ""open conifer woodland"" biome to
 describe arid and semiarid interior spaces.

3) To evaluate the performance of pollen versus macrofossils under
 standard biomization math equations.",0,18,FALSE,TRUE,FALSE,Regional,North America,"USA, Canada",TRUE,TRUE,66,97,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,North American Pollen Database,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prentice et al. (1996),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Pollen data reliably identified wet forest types, whereas packrat midden 
macrofossils proved highly precise for mapping arid desert/steppe limits.
 At 6000 yr BP, modern desert spaces were wetter, and steppe elements 
expanded into northern regions. At 18000 yr BP, massive Laurentide and
 Cordilleran ice sheets shifted storm tracks southward, causing 
widespread expansion of open conifer woodlands across the Great Basin
 and modern southwestern deserts.",VERY RELEVANT - Introduction!
49,Biome changes and their inferred climatic drivers in northern and eastern continental Asia at selected times since 40 cal ka bp,"Tian, F.",2017,Vegetation History and Archeobotany,https://doi.org/10.1007/s00334-017-0653-8,"Siberia, China, Northern Asia, Model-data comparison, Pollen, Permafrost, Vegetation-climate disequilibrium","To reconstruct large-scale vegetation pattern changes across northern and eastern continental Asia over the last 40,000 years using pollen-based biomization and compare them with a climate-driven biome model to evaluate macroclimatic drivers versus non-climatic feedback mechanism lags.","1) Establish a comprehensive, unified dataset of past vegetation across China, Mongolia, and Siberia by integrating regional palynological records. 
2) Apply an explicit global Plant Functional Type (PFT) classification scheme to map broad ecosystem migrations at selected temporal landmarks.  
3) Investigate regions exhibiting vegetation-climate disequilibrium (such as the taiga-tundra transition underpermafrost constraints) where biological migration or soil delays override immediate macroclimatic adjustments.",0,40,TRUE,TRUE,FALSE,Subcontinental,Asia,"China, Mongolia, Russia",TRUE,FALSE,NA,468,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"European Pollen Database, Global Pollen Database",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Prentice et al. (1996),
Prentice & Webb (1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
50,"Observed and dark diversity
 dynamics  over millennial time scales: fast lifehistory traits
 linked to expansion lags of plants in northern Europe","Trindade, D. P. F.",2023,The Royal Society Publishing,https://doi.org/10.1098/rspb.2022.1904,"biodiversity change, dispersal limitation,  
functional diversity, time lags, sedimentary  pollen, temporal dynamics","They used sedimentary pollen data to 
examine how both taxonomic and functional observed and dark diversity changed over the past 14 500 years in northern Europe.","Here, we explored the dynamics of observed
 and dark diversity, pool size and community completeness both at the taxonomic and functional diversity facets using a sedimentary pollen data from northern Europe. This data spans the last 14 500 years from the Late Glacial period until the present, a period during which the region has experienced significant changes in both climate and human land use",0,14.5,NA,NA,NA,Regional,Europe,"Estonia, Latvia",TRUE,FALSE,NA,20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,GAM,"We found that taxonomic and functional observed and dark diversity 
increased over time, especially after the Late Glacial and during the Late Holocene. However, dark diversity dynamics revealed expansion lags related to species’ functional characteristics (dispersal limitation and stress intolerance) and an extensive functional redundancy when compared to taxa in observed diversity. We highlight that assessing observed and dark diversity dynamics is a promising tool to examine biodiversity change across spatial scales, its possible causes, and functional consequences.",FIGURE 1 !!!!!!!
51,"A 7000-year history of 
changing plant trait composition in an  Amazonian landscape; the role of humans and climate","van der Sande, M. T.",2019,Ecology Letters,10.1111/ele.13251,"Amazon, charcoal, climate change, erosion, fire activity, fossil pollen, functional traits, human disturbance, Peru, tropical forest.","They apply a novel approach to link species 
abundance data from fossil pollen records 
spanning millennia with data on environmental change and functional traits, to evaluate long-term effects of climate and humans on the trait composition of tropical forest landscapes. They link palaeoecological data with functional traits from a human-dominated tropical forest landscape in the lowland Peruvian Amazon, using 7000 years of fossil pollen data from Lake Sauce.","1) How do traits determine taxon-level responses to climate and human disturbance (erosion rate and fire activity)?
2) How do temporal shifts in community-mean traits relate to climate and human activity?",0,7,TRUE,FALSE,TRUE,Regional,South America,Peru,TRUE,FALSE,NA,2,NA,NA,NA,NA,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"BIEN, Seed Mass Database,
Global Wood Density Database,
Tropicos",TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"Multivariate analysis, linear regression models, GLM","They evaluate how climate and human disturbances affect
 community trait composition. We found weak relationships between environmental conditions and traits at the taxon level, but strong effects for community-mean traits. Overall, community-mean traits were more responsive to human disturbances than to climate change; humaninduced erosion increased the dominance of dense-wooded, non-zoochorous species with compound leaves, and human-induced fire increased the dominance of tall, zoochorous taxa with large seeds and simple leaves.","To evaluate the suitability
 of their  traits for use at genus or family level, they tested for phylogenetic signal in our continuous traits (i.e. wood density, leaf area, adult height and seed mass) with Pagel’s lambda, which generally performs well for testing phylogenetic signal."
52,"Modern pollen rain predicts shifts in plant trait composition
 but not plant diversity along the Andes–Amazon elevational gradient","van der Sande, M. T.",2020,"Journal of Vegetation
Science",10.1111/jvs.12925,"diversity, elevation, functional traits, pollen, richness,
 R-rel values, taphonomy, tropical Andes, tropical forest",NA,"Firstly, how do taxa differ in their over- or underrepresentation by pollen?
Secondly, how do community-average trait values and 
species diversity change with elevation?
Thirdly, can pollen data predict the shifts in plant functional
 traits and diversity along the gradient?",0,0,NA,NA,NA,Regional,South America,Peru,TRUE,FALSE,82,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Wood density database, 
BIEN",TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Linear mixed-effects model,"Community-weighted mean (CWM) wood density significantly increased,
 while maximum adult height and leaf area systematically decreased as 
elevation increased. These spatial trait shifts in the living vegetation 
were accurately predicted and captured by the relative abundance configurations of the 
modern surface pollen rain, demonstrating that pollen data can faithfully
 track major macroecological shifts in plant functional composition.
 Conversely, absolute species diversity trends (richness, Shannon, and Simpson) 
were poorly reflected in the uncorrected pollen data due to taxonomic 
constraints and variations in tropical pollen dispersal syndromes",NA
53,"Warming, drought, and disturbances lead to shifts in functional
composition: A millennial-scale analysis for Amazonian and  Andean sites","van der Sande, M. T.",2023,Global Change Biology,10.1111/gcb.16818,"Amazon, Andes, climate change, El Niño, fire,
 fossil pollen, functional traits, tropical forest","Here, we use a functional trait approach
on timescales of 10,000 years to assess
 how climate and disturbances influence
 the community-mean adult height, leaf area,
 seed mass, and wood density for eight lowland
 and highland forest landscapes. To do so, we 
combine data of eight fossil pollen records 
with functional traits and proxies for climate
 (temperature, precipitation, and El Niño frequency) 
and disturbances (fire and general disturbances).","First, how do temporal changes in past 
climate (precipitation, temperature anomalies, 
and the frequency of El Niño events) and past 
disturbances (fire activity and disturbances in general) 
determine shifts in community-mean trait values across 
Neotropical forests over at least the last 2000 years 
(for some of our sites up to 12,000 years).
Second, how do these responses of trait composition 
to climate and disturbances depend on elevation?",0,11.95,TRUE,FALSE,TRUE,Regional,South America,"Ecuador, 
Peru, 
Colombia,
Brazil",TRUE,FALSE,NA,8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"WD database, BIEN,
Seed Mass Database",TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,TRUE,"TRUE
",FALSE,FALSE,TRUE,TRUE,TRUE,"LMM, GLS","We found that temperature and disturbances were the most important 
drivers of changes in functional composition. Increased water availability
 (high precipitation and low El Niño frequency) generally led to more acquisitive
 trait composition (large leaves and soft wood). In lowland forests, warmer climates
 decreased community-mean height probably because of increased water stress, 
whereas in highland forests warmer climates increased height probably because of 
upslope migration of taller species. Disturbance increased the abundance of acquisitive, 
disturbance-adapted taxa with small seeds for quick colonization of disturbed sites, large 
leaves for light capture, and soft wood to attain fast height growth. Fire had weak effects 
on lowland forests but led to more stress-adapted taxa that are tall with fast life cycles and
 small seeds that can quickly colonize burned sites.",Introduction!
54,Pollen-based reconstruction reveals the impact of the onset of agriculture on plant functional trait composition,"Veeken, A.",2022,Ecology Letters,10.1111/ele.14063,"climate, early agriculture, Holocene, 
plant functional traits, pollen data","Determine trends in plant trait composition within landscapes undergoing the transition to agriculture by econstructing plant trait composition in multiple pollen records from a variety of different northwestern European locations. They also assess the relative importance of climate versus agriculture 
in driving these trends.","1) Determine whether functional composition exhibits spatial and/or temporal patterns throughout the Holocene in northwestern Europe.
2) Examine whether agriculture triggered a change in functional composition.
3) Assess the additional role of climate in driving functional composition.",0,10,FALSE,FALSE,FALSE,Continental,Europe,"France, Ireland,
 Sweden, England, Germany, Czech Republic, Slovakia, Switzerland",TRUE,FALSE,NA,78,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Neotoma,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRY,TRUE,FALSE,TRUE,"Hierarchical Bayesian
 Probabilistic Matrix 
Factorisation (HBPMF)",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,TRUE,"
TRUE",TRUE,TRUE,GAM,"1) Decrease in whole plant size 
alongside a shift in trait space 
related to the leaf economic spectrum after the onset of agriculture. 
2) Both agriculture and climate play a role in explaining the changes in plant community trait composition -> variation with different traits (height + seed size more by agriculture X leaf traits by both). 
",NA
55,Modern pollen-based biome reconstructions in East Africa  expanded to southern Tanzania,"Vincens, A.",2006,Review of Paleobotany and Palynology,10.1016/j.revpalbo.2006.04.003,"biomisation, East Africa, modern pollen, plant functional type","To test, expand, and optimize the standard objective biomisation method in East Africa by incorporating newly generated modern surface pollen samples from underrepresented southern Tanzanian ecosystems.","1) To produce 59 new modern surface pollen records from a high-density bioclimatic transect in southern Tanzania.

2) To optimize the African pollen-to-PFT assignment matrix by including all identified terrestrial taxa (408 total) to capture high regional biodiversity.

3) To validate the modified biomisation approach by comparing model-assigned biomes directly against local botanical field observations.",0,0,NA,NA,NA,Subcontinental,Africa,"Kenya, Uganda, Tanzania",TRUE,FALSE,150,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,African Pollen Database,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Jolly et al. (1998), Peyron et al. (2000)",NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,"Reconstruction Accuracy: The updated biomisation scheme successfully assigned 124 out of 150 validation sites (82.6%) to their correct true biological biome, proving its high accuracy for high-biodiversity tropical regions.

Taxonomic Expansion Success: Expanding the lookup tables to include nearly all regional pollen types (excluding only aquatics, ferns, and exotics) significantly reduced old model errors that misclassified open savannas as closed forests.

Resolving Forest/Savanna Overlaps: The revised framework accurately distinguishes between closed dry forests, open moist savannas, and true Miombo woodlands (Zambezian dry forest), making it a highly reliable tool for future paleoclimate and vegetation reconstructions in East Africa.",NA
56,"Holocene Neolithic human activity shaped ecosystem functions through the altering of vegetation traits in Zhejiang, eastern China","Wang, H.",2024,"Quaternary Science 
Reviews",https://doi.org/10.1016/j.quascirev.2024.108762,"Pollen, Holocene, Vegetation traits, Landscape,
 Climate Human activities","The aim was to reconstruct past
 long–term changes in plant traits and to investigate variations in ecosystem functioning under the pressure of natural climate shifts and anthropogenic disturbances.","1) to reveal how the functions of terrestrial vegetation and the strategies for resource acquisition within plant communities changed under climate change; 
2) how changes in the vegetation functioning and the PFTrs related to human activities; and 
3) whether Neolithic human activities accelerated, slowed down or reversed ecosystem change.",-73,16.646,TRUE,TRUE,FALSE,Regional,Asia,China,TRUE,FALSE,NA,37,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,GAM,"Our findings reveal that, during the Holocene, plant functional
 traits at natural sites gradually adapted to warmer and wetter conditions, with the natural functional dispersion (FDis) showing a steady decrease between 9.0 and 4.0 cal ka BP. At human–impacted sites, intensified human activities gradually transformed the landscape from forest to grassland and shrubland, allowing light–demanding vegetation to thrive due to extended canopy gaps. Pioneer plants flourished in the secondary succession, leading communities to exhibit more aggressive resource acquisition strategies compared to a natural community.",NA
